id,nome,sobrenome,data_nascimento,cidade,telefone
1,Ana,Silva,1990-05-14,Salvador,71988887777
2,Lucas,Santos,1988-02-20,Feira de Santana,75999112233
3,Mariana,Oliveira,1995-11-02,Vitória da Conquista,77988334455
4,Rafael,Almeida,1987-07-18,Salvador,71987654321
5,Fernanda,Costa,1992-09-10,Ilhéus,73991234567
6,Bruno,Rocha,1991-03-28,Itabuna,73988776655
7,Paula,Martins,1996-12-01,Salvador,71999119933
8,Diego,Pereira,1989-04-16,Feira de Santana,75999887766
9,Camila,Lima,1993-01-22,Camaçari,71991239876
10,Juliana,Barbosa,1994-10-09,Lauro de Freitas,71999881122
11,Ana,Silvaa,1990-05-14,Salvadr,7198888777     <-- duplicata com ruído da id 1
12,Lucaz,Santos,1988-02-20,Feira de Santna,7599911223  <-- duplicata id 2
13,Marina,Oliveeira,1995-11-02,Vitoria da Conqta,7798833445 <-- duplicata id 3
14,Rafaell,Almeda,1987-07-18,Salvador,71987654312  <-- duplicata id 4
15,Fernan,Costa,1992-09-10,Ilhéus,7399123456  <-- duplicata id 5
16,Brno,Rocha,1991-03-28,Itabuna,7398877665  <-- duplicata id 6
17,Paolla,Martns,1996-12-01,Salvdor,7199911993 <-- duplicata id 7
18,Diogo,Pereiraa,1989-04-16,Feira Santana,7599988776 <-- duplicata id 8
19,Camla,Lma,1993-01-22,Camacari,7199123987 <-- duplicata id 9
20,Julina,Babosa,1994-10-09,Lauro Freitas,7199988112 <-- duplicata id 10
21,Roberto,Cardoso,1982-05-05,Salvador,71990001122
22,Carla,Moreira,1997-08-12,Ilhéus,73999882211
23,João,Andrade,1986-03-03,Itabuna,73991115544
24,Mateus,Carvalho,1990-10-21,Salvador,71990002233
25,Patrícia,Gomes,1994-02-15,Camaçari,71990007755
26,Tatiane,Reis,1993-06-16,Vitória da Conquista,77992223344
27,Leandro,Pinto,1991-11-30,Itabuna,73999886655
28,Renata,Moura,1992-04-04,Ilhéus,73998771234
29,André,Souza,1985-09-08,Salvador,71992224455
30,Daniel,Freitas,1989-12-17,Camaçari,71993335566
31,Robero,Cardso,1982-05-05,Salvdor,7199000112   <-- duplicata id 21
32,Crla,Moreeira,1997-08-12,Ilheús,7399988221   <-- duplicata id 22
33,Jão,Andrad,1986-03-03,Itbuna,7399111554   <-- duplicata id 23
34,Matheus,Carvalho,1990-10-21,Salvadr,7199000223  <-- duplicata id 24
35,Patricia,Gomes,1994-02-15,Camacri,7199000775  <-- duplicata id 25
36,Tatiana,Res,1993-06-16,Vitoria da Conqusta,7799222334 <-- duplicata id 26
37,Leandro,Pintto,1991-11-30,Itabna,7399988665 <-- duplicata id 27
38,Renta,Moura,1992-04-04,Ilheús,7399877123 <-- duplicata id 28
39,Andre,Souzza,1985-09-08,Salvadr,7199222445 <-- duplicata id 29
40,Danilo,Freitts,1989-12-17,Camacari,7199333556 <-- duplicata id 30
41,Fabiana,Pires,1990-03-14,Salvador,71998773455
42,Rodrigo,Lopes,1992-07-18,Ilhéus,73991228766
43,Sandra,Teixeira,1994-09-21,Itabuna,73998823344
44,Marcelo,Ferraz,1988-01-11,Vitória da Conquista,77992334556
45,Sílvia,Barros,1995-12-30,Feira de Santana,75991234455
46,Thiago,Brito,1991-04-25,Salvador,71995554433
47,Elaine,Castro,1986-05-19,Camaçari,71998887711
48,Caroline,Matos,1993-07-12,Lauro de Freitas,71990001234
49,Érica,Assis,1992-09-15,Salvador,71993334455
50,Aline,Ferreira,1994-06-09,Itabuna,73990009988
51,Fabina,Pirres,1990-03-14,Salvdor,7199877345 <-- duplicata id 41
52,Rodrgo,Lpess,1992-07-18,Ilhes,7399122876 <-- duplicata id 42
53,Sandraa,Texeira,1994-09-21,Itabua,7399882334 <-- duplicata id 43
54,Marceo,Feraz,1988-01-11,Vitoria Conquista,7799233455 <-- duplicata id 44
55,Silvia,Baroos,1995-12-30,Feira Santana,7599123445 <-- duplicata id 45
56,Tiago,Britto,1991-04-25,Salavdor,7199555443 <-- duplicata id 46
57,Elane,Catro,1986-05-19,Camacari,7199888771 <-- duplicata id 47
58,Carolin,Mattos,1993-07-12,Lauro Freita,7199000123 <-- duplicata id 48
59,Erica,Asis,1992-09-15,Slvador,7199333445 <-- duplicata id 49
60,Aline,Fereira,1994-06-09,Itabua,7399000998 <-- duplicata id 50
