id,nome,sobrenome,data_nascimento,cidade,telefone
0,Ana,Silva,1990-05-14,Salvador,71988887777
1,Lucas,Santos,1988-02-20,Feira de Santana,75999112233
2,Mariana,Oliveira,1995-11-02,Vitória da Conquista,77988334455
3,Rafael,Almeida,1987-07-18,Salvador,71987654321
4,Fernanda,Costa,1992-09-10,Ilhéus,73991234567
5,Bruno,Rocha,1991-03-28,Itabuna,73988776655
6,Paula,Martins,1996-12-01,Salvador,71999119933
8,Camila,Lima,1993-01-22,Camaçari,71991239876
9,Juliana,Barbosa,1994-10-09,Lauro de Freitas,71999881122
11,Lucaz,Santos,1988-02-20,Feira de Santna,7599911223  <-- duplicata id 1
12,Marina,Oliveeira,1995-11-02,Vitoria da Conqta,7798833445 <-- duplicata id 2
15,Brno,Rocha,1991-03-28,Itabuna,7398877665  <-- duplicata id 5
16,Paolla,Martns,1996-12-01,Salvdor,7199911993 <-- duplicata id 6
17,Diogo,Pereiraa,1989-04-16,Feira Santana,7599988776 <-- duplicata id 7
18,Camla,Lma,1993-01-22,Camacari,7199123987 <-- duplicata id 8
19,Julina,Babosa,1994-10-09,Lauro Freitas,7199988112 <-- duplicata id 9
20,Roberto,Cardoso,1982-05-05,Salvador,71990001122
21,Carla,Moreira,1997-08-12,Ilhéus,73999882211
22,João,Andrade,1986-03-03,Itabuna,73991115544
23,Mateus,Carvalho,1990-10-21,Salvador,71990002233
24,Patrícia,Gomes,1994-02-15,Camaçari,71990007755
25,Tatiane,Reis,1993-06-16,Vitória da Conquista,77992223344
26,Leandro,Pinto,1991-11-30,Itabuna,73999886655
27,Renata,Moura,1992-04-04,Ilhéus,73998771234
28,André,Souza,1985-09-08,Salvador,71992224455
29,Daniel,Freitas,1989-12-17,Camaçari,71993335566
30,Robero,Cardso,1982-05-05,Salvdor,7199000112   <-- duplicata id 20
31,Crla,Moreeira,1997-08-12,Ilheús,7399988221   <-- duplicata id 21
32,Jão,Andrad,1986-03-03,Itbuna,7399111554   <-- duplicata id 22
35,Tatiana,Res,1993-06-16,Vitoria da Conqusta,7799222334 <-- duplicata id 25
37,Renta,Moura,1992-04-04,Ilheús,7399877123 <-- duplicata id 27
38,Andre,Souzza,1985-09-08,Salvadr,7199222445 <-- duplicata id 28
39,Danilo,Freitts,1989-12-17,Camacari,7199333556 <-- duplicata id 29
40,Fabiana,Pires,1990-03-14,Salvador,71998773455
41,Rodrigo,Lopes,1992-07-18,Ilhéus,73991228766
43,Marcelo,Ferraz,1988-01-11,Vitória da Conquista,77992334556
44,Sílvia,Barros,1995-12-30,Feira de Santana,75991234455
45,Thiago,Brito,1991-04-25,Salvador,71995554433
46,Elaine,Castro,1986-05-19,Camaçari,71998887711
47,Caroline,Matos,1993-07-12,Lauro de Freitas,71990001234
48,Érica,Assis,1992-09-15,Salvador,71993334455
49,Aline,Ferreira,1994-06-09,Itabuna,73990009988
50,Fabina,Pirres,1990-03-14,Salvdor,7199877345 <-- duplicata id 40
51,Rodrgo,Lpess,1992-07-18,Ilhes,7399122876 <-- duplicata id 41
53,Marceo,Feraz,1988-01-11,Vitoria Conquista,7799233455 <-- duplicata id 43
56,Elane,Catro,1986-05-19,Camacari,7199888771 <-- duplicata id 46
57,Carolin,Mattos,1993-07-12,Lauro Freita,7199000123 <-- duplicata id 47
60,José,Nascimento,1983-09-07,Salvador,71990001144
61,Cláudia,Farias,1991-01-27,Camaçari,71995556677
62,Eduardo,Teles,1988-03-19,Feira de Santana,75992223455
63,Mônica,Ramalho,1993-12-04,Vitória da Conquista,77993332211
64,Priscila,Moreira,1990-08-22,Ilhéus,73991112233
65,Leonardo,Assunção,1994-07-15,Salvador,71997776655
68,Eduarodo,Teles,1988-03-19,Feira Santana,7599222345 <-- duplicata id 62
71,Leonrdo,Asunçao,1994-07-15,Slvador,7199777665 <-- duplicata id 65
72,Sérgio,Fontes,1989-02-14,Feira de Santana,75991234588
73,Hugo,Cardim,1987-11-30,Vitória da Conquista,77995554422
74,Rita,Monteiro,1992-10-17,Ilhéus,73993335511
75,Larissa,Alves,1996-03-08,Camaçari,71990007733
76,Bruna,Medeiros,1994-12-12,Itabuna,73998881133
78,Hgo,Cardin,1987-11-30,Vioria Conquista,7799555442 <-- duplicata id 73
79,Ria,Monteir,1992-10-17,Ilheús,7399333551 <-- duplicata id 74
80,Larrisa,Alvees,1996-03-08,Camacari,7199000773 <-- duplicata id 75
82,Caio,Guedes,1990-10-10,Salvador,71995553322
83,Vanessa,Ribeiro,1992-09-18,Feira de Santana,75990004422
84,Murilo,Porto,1991-02-23,Itabuna,73995556633
85,Yasmin,Araújo,1993-05-28,Lauro de Freitas,71990001177
87,Vanesa,Ribero,1992-09-18,Feira Santana,7599000442 <-- duplicata id 83
88,Murillo,Portto,1991-02-23,Itbuna,7399555663 <-- duplicata id 84
91,Helena,Brito,1995-11-11,Itabuna,73991113344
92,Marcela,Gonçalves,1992-07-19,Salvador,71998886644
94,Lus,Queroz,1987-04-14,Camacri,7199555779 <-- duplicata id 90
95,Helna,Britoo,1995-11-11,Itabua,7399111334 <-- duplicata id 91
98,Otávio,Silveira,1989-06-14,Salvador,71997778899
