id,nome,sobrenome,data_nascimento,cidade,telefone,temp_id,id_unique
1,Ana,Silva,1990-05-14,Salvador,71988887777,0,0
2,Lucas,Santos,1988-02-20,Feira de Santana,75999112233,1,1
3,Mariana,Oliveira,1995-11-02,Vitória da Conquista,77988334455,2,2
4,Rafael,Almeida,1987-07-18,Salvador,71987654321,3,3
5,Fernanda,Costa,1992-09-10,Ilhéus,73991234567,4,4
6,Bruno,Rocha,1991-03-28,Itabuna,73988776655,5,5
7,Paula,Martins,1996-12-01,Salvador,71999119933,6,6
8,Diego,Pereira,1989-04-16,Feira de Santana,75999887766,7,7
9,Camila,Lima,1993-01-22,Camaçari,71991239876,8,8
10,Juliana,Barbosa,1994-10-09,Lauro de Freitas,71999881122,9,9
12,Lucaz,Santos,1988-02-20,Feira de Santna,7599911223  <-- duplicata id 2,11,11
13,Marina,Oliveeira,1995-11-02,Vitoria da Conqta,7798833445 <-- duplicata id 3,12,12
14,Rafaell,Almeda,1987-07-18,Salvador,71987654312  <-- duplicata id 4,13,13
16,Brno,Rocha,1991-03-28,Itabuna,7398877665  <-- duplicata id 6,15,15
17,Paolla,Martns,1996-12-01,Salvdor,7199911993 <-- duplicata id 7,16,16
18,Diogo,Pereiraa,1989-04-16,Feira Santana,7599988776 <-- duplicata id 8,17,17
19,Camla,Lma,1993-01-22,Camacari,7199123987 <-- duplicata id 9,18,18
20,Julina,Babosa,1994-10-09,Lauro Freitas,7199988112 <-- duplicata id 10,19,19
21,Roberto,Cardoso,1982-05-05,Salvador,71990001122,20,20
22,Carla,Moreira,1997-08-12,Ilhéus,73999882211,21,21
23,João,Andrade,1986-03-03,Itabuna,73991115544,22,22
24,Mateus,Carvalho,1990-10-21,Salvador,71990002233,23,23
25,Patrícia,Gomes,1994-02-15,Camaçari,71990007755,24,24
26,Tatiane,Reis,1993-06-16,Vitória da Conquista,77992223344,25,25
27,Leandro,Pinto,1991-11-30,Itabuna,73999886655,26,26
28,Renata,Moura,1992-04-04,Ilhéus,73998771234,27,27
29,André,Souza,1985-09-08,Salvador,71992224455,28,28
30,Daniel,Freitas,1989-12-17,Camaçari,71993335566,29,29
31,Robero,Cardso,1982-05-05,Salvdor,7199000112   <-- duplicata id 21,30,30
32,Crla,Moreeira,1997-08-12,Ilheús,7399988221   <-- duplicata id 22,31,31
33,Jão,Andrad,1986-03-03,Itbuna,7399111554   <-- duplicata id 23,32,32
34,Matheus,Carvalho,1990-10-21,Salvadr,7199000223  <-- duplicata id 24,33,33
36,Tatiana,Res,1993-06-16,Vitoria da Conqusta,7799222334 <-- duplicata id 26,35,35
37,Leandro,Pintto,1991-11-30,Itabna,7399988665 <-- duplicata id 27,36,36
38,Renta,Moura,1992-04-04,Ilheús,7399877123 <-- duplicata id 28,37,37
39,Andre,Souzza,1985-09-08,Salvadr,7199222445 <-- duplicata id 29,38,38
40,Danilo,Freitts,1989-12-17,Camacari,7199333556 <-- duplicata id 30,39,39
41,Fabiana,Pires,1990-03-14,Salvador,71998773455,40,40
42,Rodrigo,Lopes,1992-07-18,Ilhéus,73991228766,41,41
43,Sandra,Teixeira,1994-09-21,Itabuna,73998823344,42,42
44,Marcelo,Ferraz,1988-01-11,Vitória da Conquista,77992334556,43,43
45,Sílvia,Barros,1995-12-30,Feira de Santana,75991234455,44,44
46,Thiago,Brito,1991-04-25,Salvador,71995554433,45,45
47,Elaine,Castro,1986-05-19,Camaçari,71998887711,46,46
48,Caroline,Matos,1993-07-12,Lauro de Freitas,71990001234,47,47
49,Érica,Assis,1992-09-15,Salvador,71993334455,48,48
50,Aline,Ferreira,1994-06-09,Itabuna,73990009988,49,49
51,Fabina,Pirres,1990-03-14,Salvdor,7199877345 <-- duplicata id 41,50,50
52,Rodrgo,Lpess,1992-07-18,Ilhes,7399122876 <-- duplicata id 42,51,51
53,Sandraa,Texeira,1994-09-21,Itabua,7399882334 <-- duplicata id 43,52,52
54,Marceo,Feraz,1988-01-11,Vitoria Conquista,7799233455 <-- duplicata id 44,53,53
55,Silvia,Baroos,1995-12-30,Feira Santana,7599123445 <-- duplicata id 45,54,54
56,Tiago,Britto,1991-04-25,Salavdor,7199555443 <-- duplicata id 46,55,55
57,Elane,Catro,1986-05-19,Camacari,7199888771 <-- duplicata id 47,56,56
58,Carolin,Mattos,1993-07-12,Lauro Freita,7199000123 <-- duplicata id 48,57,57
59,Erica,Asis,1992-09-15,Slvador,7199333445 <-- duplicata id 49,58,58
60,Aline,Fereira,1994-06-09,Itabua,7399000998 <-- duplicata id 50,59,59
61,José,Nascimento,1983-09-07,Salvador,71990001144,60,60
62,Cláudia,Farias,1991-01-27,Camaçari,71995556677,61,61
63,Eduardo,Teles,1988-03-19,Feira de Santana,75992223455,62,62
64,Mônica,Ramalho,1993-12-04,Vitória da Conquista,77993332211,63,63
65,Priscila,Moreira,1990-08-22,Ilhéus,73991112233,64,64
66,Leonardo,Assunção,1994-07-15,Salvador,71997776655,65,65
69,Eduarodo,Teles,1988-03-19,Feira Santana,7599222345 <-- duplicata id 63,68,68
70,Monica,Ramalo,1993-12-04,Vitoria Conquista,7799333221 <-- duplicata id 64,69,69
71,Priscilla,Moreeira,1990-08-22,Ilheús,7399111223 <-- duplicata id 65,70,70
72,Leonrdo,Asunçao,1994-07-15,Slvador,7199777665 <-- duplicata id 66,71,71
73,Sérgio,Fontes,1989-02-14,Feira de Santana,75991234588,72,72
74,Hugo,Cardim,1987-11-30,Vitória da Conquista,77995554422,73,73
75,Rita,Monteiro,1992-10-17,Ilhéus,73993335511,74,74
76,Larissa,Alves,1996-03-08,Camaçari,71990007733,75,75
77,Bruna,Medeiros,1994-12-12,Itabuna,73998881133,76,76
79,Hgo,Cardin,1987-11-30,Vioria Conquista,7799555442 <-- duplicata id 74,78,78
80,Ria,Monteir,1992-10-17,Ilheús,7399333551 <-- duplicata id 75,79,79
81,Larrisa,Alvees,1996-03-08,Camacari,7199000773 <-- duplicata id 76,80,80
82,Brunna,Medeiroos,1994-12-12,Itabna,7399888113 <-- duplicata id 77,81,81
83,Caio,Guedes,1990-10-10,Salvador,71995553322,82,82
84,Vanessa,Ribeiro,1992-09-18,Feira de Santana,75990004422,83,83
85,Murilo,Porto,1991-02-23,Itabuna,73995556633,84,84
86,Yasmin,Araújo,1993-05-28,Lauro de Freitas,71990001177,85,85
87,Caio,Guedees,1990-10-10,Salvdor,7199555332 <-- duplicata id 83,86,86
88,Vanesa,Ribero,1992-09-18,Feira Santana,7599000442 <-- duplicata id 84,87,87
89,Murillo,Portto,1991-02-23,Itbuna,7399555663 <-- duplicata id 85,88,88
90,Ysmin,Arajo,1993-05-28,Laro Freitas,7199000117 <-- duplicata id 86,89,89
91,Luis,Queiroz,1987-04-14,Camaçari,71995557799,90,90
92,Helena,Brito,1995-11-11,Itabuna,73991113344,91,91
93,Marcela,Gonçalves,1992-07-19,Salvador,71998886644,92,92
94,Thiago,Neves,1990-01-20,Feira de Santana,75990001155,93,93
95,Lus,Queroz,1987-04-14,Camacri,7199555779 <-- duplicata id 91,94,94
96,Helna,Britoo,1995-11-11,Itabua,7399111334 <-- duplicata id 92,95,95
98,Tiago,Nevees,1990-01-20,Feira Santana,7599000115 <-- duplicata id 94,97,97
99,Otávio,Silveira,1989-06-14,Salvador,71997778899,98,98
100,Otavio,Silveria,1989-06-14,Slvador,7199777889 <-- duplicata id 99,99,99
