id_l,nome_l,sobrenome_l,data_nascimento_l,cidade_l,telefone_l,temp_id_l,id_lt_l,id_r,nome_r,sobrenome_r,data_nascimento_r,cidade_r,telefone_r,temp_id_r,id_lt_r,score
0,Ana,Silva,1990-05-14,Salvador,71988887777,0,0,0,Ana,Silva,1990-05-14,Salvador,71988887777,0,0,0.9999999
0,Ana,Silva,1990-05-14,Salvador,71988887777,0,0,10,Ana,Silvaa,1990-05-14,Salvadr,7198888777     <-- duplicata com ruído da id 0,10,10,0.95764315
1,Lucas,Santos,1988-02-20,Feira de Santana,75999112233,1,1,1,Lucas,Santos,1988-02-20,Feira de Santana,75999112233,1,1,1.0
2,Mariana,Oliveira,1995-11-02,Vitória da Conquista,77988334455,2,2,2,Mariana,Oliveira,1995-11-02,Vitória da Conquista,77988334455,2,2,1.0
3,Rafael,Almeida,1987-07-18,Salvador,71987654321,3,3,3,Rafael,Almeida,1987-07-18,Salvador,71987654321,3,3,1.0
3,Rafael,Almeida,1987-07-18,Salvador,71987654321,3,3,7,Diego,Pereira,1989-04-16,Feira de Santana,75999887766,7,7,0.7658322
3,Rafael,Almeida,1987-07-18,Salvador,71987654321,3,3,13,Rafaell,Almeda,1987-07-18,Salvador,71987654312  <-- duplicata id 3,13,13,0.7037357
4,Fernanda,Costa,1992-09-10,Ilhéus,73991234567,4,4,4,Fernanda,Costa,1992-09-10,Ilhéus,73991234567,4,4,1.0
4,Fernanda,Costa,1992-09-10,Ilhéus,73991234567,4,4,14,Fernan,Costa,1992-09-10,Ilhéus,7399123456  <-- duplicata id 4,14,14,0.905161
5,Bruno,Rocha,1991-03-28,Itabuna,73988776655,5,5,5,Bruno,Rocha,1991-03-28,Itabuna,73988776655,5,5,0.9999999
6,Paula,Martins,1996-12-01,Salvador,71999119933,6,6,6,Paula,Martins,1996-12-01,Salvador,71999119933,6,6,1.0
7,Diego,Pereira,1989-04-16,Feira de Santana,75999887766,7,7,7,Diego,Pereira,1989-04-16,Feira de Santana,75999887766,7,7,1.0
7,Diego,Pereira,1989-04-16,Feira de Santana,75999887766,7,7,3,Rafael,Almeida,1987-07-18,Salvador,71987654321,3,3,0.7658322
8,Camila,Lima,1993-01-22,Camaçari,71991239876,8,8,8,Camila,Lima,1993-01-22,Camaçari,71991239876,8,8,1.0
9,Juliana,Barbosa,1994-10-09,Lauro de Freitas,71999881122,9,9,9,Juliana,Barbosa,1994-10-09,Lauro de Freitas,71999881122,9,9,1.0
10,Ana,Silvaa,1990-05-14,Salvadr,7198888777     <-- duplicata com ruído da id 0,10,10,10,Ana,Silvaa,1990-05-14,Salvadr,7198888777     <-- duplicata com ruído da id 0,10,10,1.0
10,Ana,Silvaa,1990-05-14,Salvadr,7198888777     <-- duplicata com ruído da id 0,10,10,0,Ana,Silva,1990-05-14,Salvador,71988887777,0,0,0.95764315
